angle_1,angle_2,angle_3,posture_type
0.4257960418607472,0.3204385420859729,0.15752203747880533,normal-case
0.03191755498755288,179.68194970746194,0.5553917952294554,normal-case
179.87165209472714,179.9964866025801,0.043486911509581144,normal-case
0.5734893903519547,0.5667936776803555,0.4195182465845005,normal-case
0.5734339502958785,179.62928590658583,0.39028812715304934,normal-case
0.5361586369801135,0.47681997685304406,179.79202595015787,normal-case
0.14630982718088373,0.13936162366775118,179.912068483952,normal-case
0.25581434367946465,179.9337140831655,179.88146872196488,normal-case
179.8856990080432,179.9531340800169,0.46359809190627754,normal-case
179.87145654523624,0.1419591543612682,0.055020608272092,normal-case
0.4622048340304187,179.875657517914,0.004159054845953578,normal-case
0.15509114905365717,0.2130185479251481,179.70905466256855,normal-case
179.96273940346526,0.09546569975098962,0.245622955581966,normal-case
0.4420515811278424,0.4982571636678536,0.27601647130544854,normal-case
0.10184818712808615,179.5936278894706,0.1421124075333139,normal-case
0.19272976205066997,0.34149068443159425,0.12317890219211232,normal-case
179.69376821849082,179.59897619043486,179.85436314499472,normal-case
0.1581742133720188,0.056362616686333245,179.82199511003907,normal-case
0.268410018581389,179.96340817517333,0.054365515830564294,normal-case
0.23496391014041146,0.2433291824484116,0.2262024357186311,normal-case
0.257606767663173,0.3356776052699416,179.95452382434925,normal-case
0.2676892018309578,0.497342918594351,179.8836024431801,normal-case
179.8242668683123,0.30496857624578877,0.07109699275390793,normal-case
0.1340380207197396,0.02248778650188423,0.2574830112487498,normal-case
0.18575301158804428,179.93368574077923,0.153801701847677,normal-case
179.82218065604243,179.45208743281137,179.93873632218076,normal-case
179.84832399252218,179.9095916847353,0.13672681845630338,normal-case
179.87637571985668,179.72640291951905,0.2735245673592681,normal-case
179.87529816472783,0.304321992040179,0.3409874237477964,normal-case
179.76281638148054,179.85213756389427,0.17673105710606,normal-case
179.99575936953067,179.96079826823672,179.85291014376017,normal-case
179.63413642257646,179.69869187388164,179.87357597791168,normal-case
179.9225566103842,0.43513041145803694,179.53390942484117,normal-case
0.09502574553731573,0.15665054921420613,179.99202746034302,normal-case
179.71977664404763,179.74653682179184,0.3343518893343244,normal-case
179.85862875441273,0.17818921346148606,179.6402068409751,normal-case
179.98498740245708,179.9741114456343,179.87198310721897,normal-case
179.91985428747594,0.41987912054971166,179.83413288851534,normal-case
179.74272033931257,0.3918931759680986,179.99470364752974,normal-case
179.86485036932967,179.9826243790965,179.91534564595382,normal-case
179.76164858831556,179.89879067055492,179.8060983299444,normal-case
0.16888387163955695,179.68829126001776,179.84923208411685,normal-case
179.9857642046657,179.9737408233164,0.3807212921781576,normal-case
179.8407793723572,179.98992644341442,179.88082415866272,normal-case
179.62929507691306,179.84635913610664,179.5529799055589,normal-case
0.04860043451155628,0.03854787854316874,179.90995073005018,normal-case
0.1088953903370533,0.11362438590547089,0.2536545101044578,normal-case
0.13694929767699784,179.869740592299,0.137911726529863,normal-case
0.423729622057422,0.3581238875162286,179.878617096598,normal-case
0.20541181812796339,179.61624167286467,0.2837661365462571,normal-case
179.5742039581393,179.679561457914,179.8424779625212,normal-case
179.9680824450124,0.31805029253806,179.4446082047705,normal-case
0.12834790527286,0.0035133974199,179.9565130884904,normal-case
179.426510609648,0.5667936776803555,179.5804817534155,normal-case
179.4265660497041,0.37071409341417,179.609711872847,normal-case
179.4638413630199,179.523180023147,0.20797404984213,normal-case
179.8536901728191,179.8606383763322,179.902068483952,normal-case
0.25581434367946465,0.0662859168345,0.11853127803512,normal-case
0.1143009919568,179.9531340800169,179.5364019080937,normal-case
0.12854345476376,179.8580408456387,179.9449793917279,normal-case
0.4622048340304,0.124342482086,179.995840945154,normal-case
179.8449088509463,179.7869814520749,0.29094533743145,normal-case
0.03726059653474,179.904534300249,179.754377044418,normal-case
179.5579484188722,179.5017428363321,179.7239835286946,normal-case
179.8981518128719,0.4063721105294,179.8578875924667,normal-case
179.8072702379493,179.6585093155684,179.8768210978079,normal-case
0.30623178150918,0.40102380956514,0.14563685500528,normal-case
179.841825786628,179.9436373833137,0.17800488996093,normal-case
179.7315899814186,0.03659182482667,179.9456344841694,normal-case
179.7650360898596,179.7566708175516,179.7737975642814,normal-case
179.7423932323368,179.6643223947301,0.04547617565075,normal-case
179.732310798169,179.5026570814056,0.1163975568199,normal-case
0.1757331316877,179.6950314237542,179.9289030072461,normal-case
179.8659619792803,179.9775122134981,179.7425169887513,normal-case
179.814246988412,0.06631425922077,179.8461982981523,normal-case
0.17781934395757,0.54791256718863,0.06126367781924,normal-case
0.15167600747782,0.0904083152647,179.8632731815437,normal-case
0.12362428014332,0.27359708048095,179.7264754326407,normal-case
0.12470183527217,179.6956780079598,179.6590125762522,normal-case
0.23718361851946,0.14786243610573,179.8232689428939,normal-case
0.00424063046933,0.03920173176328,0.14708985623983,normal-case
0.36586357742354,0.30130812611836,0.12642402208832,normal-case
0.0774433896158,179.564869588542,0.46609057515883,normal-case
179.9049742544627,179.8433494507858,0.00797253965698,normal-case
0.28022335595237,0.25346317820816,179.6656481106657,normal-case
0.14137124558727,179.8218107865385,0.3597931590249,normal-case
0.01501259754292,0.0258885543657,0.12801689278103,normal-case
0.08014571252406,179.5801208794503,0.16586711148466,normal-case
0.25727966068743,179.6081068240319,0.00529635247026,normal-case
0.13514963067033,0.0173756209035,0.08465435404618,normal-case
0.23835141168444,0.10120932944508,0.1939016700556,normal-case
179.8311161283604,0.31170873998224,0.15076791588315,normal-case
0.0142357953343,0.0262591766836,179.6192787078218,normal-case
0.1592206276428,0.01007355658558,0.11917584133728,normal-case
0.37070492308694,0.15364086389336,0.4470200944411,normal-case
179.9513995654884,179.9614521214568,0.09004926994982,normal-case
179.8911046096629,179.8863756140945,179.7463454898955,normal-case
179.863050702323,0.130259407701,179.8620882734701,normal-case
179.5762703779426,179.6418761124838,0.121382903402,normal-case
179.794588181872,0.38375832713533,179.7162338634537,normal-case
179.76067166471012,176.46320625759031,176.85058970452195,right-c-scoliotic-posture
179.74167088045246,179.05062046238072,179.73639025768998,right-c-scoliotic-posture
179.0950937304479,179.21167853570955,179.2776039763329,right-c-scoliotic-posture
179.72042953684075,179.24012558394367,178.28426451207005,right-c-scoliotic-posture
179.2473200775825,178.0845096137551,178.0895096137551,right-c-scoliotic-posture
177.66704126672596,177.10493009583902,179.29113035229037,right-c-scoliotic-posture
178.10722395491416,178.85058446791965,179.8736864641374,right-c-scoliotic-posture
179.28965860685307,178.4785384639893,176.8842376148286,right-c-scoliotic-posture
179.26553050917312,179.5303666581111,179.20730797925293,right-c-scoliotic-posture
176.65506425210216,176.95936266589015,178.8555466484456,right-c-scoliotic-posture
179.7559331485511,179.28747583583402,178.61867752037045,right-c-scoliotic-posture
176.8965502815304,178.8577051508103,176.1233374911614,right-c-scoliotic-posture
177.29231426662983,179.35928993809065,176.89188592431543,right-c-scoliotic-posture
179.36870078846925,178.8985044934472,179.59121859084533,right-c-scoliotic-posture
177.4606882357865,175.4143293643269,173.4800217556592,right-c-scoliotic-posture
177.37752277835204,178.1106454701684,177.05278408946677,right-c-scoliotic-posture
179.13535926905047,179.52459157275146,179.39827910285234,right-c-scoliotic-posture
179.7896520388776,0.10077921458174777,179.5363744328349,right-c-scoliotic-posture
178.91505124285007,179.19128688639267,178.67335070745395,right-c-scoliotic-posture
177.49872336651924,178.90772674055415,178.43628375671358,right-c-scoliotic-posture
177.43942494999064,178.8079928116928,179.5372016113581,right-c-scoliotic-posture
179.76186044071127,179.2904389118766,179.08807677077348,right-c-scoliotic-posture
179.56626472571384,179.0184574099124,178.80611671335805,right-c-scoliotic-posture
178.74858705389798,179.46628468774927,178.3457432478812,right-c-scoliotic-posture
179.8750324114057,178.9235779814601,179.74852950795992,right-c-scoliotic-posture
178.4322504981856,179.58820623307363,178.8572355634707,right-c-scoliotic-posture
179.79293681400245,178.9049821822638,177.1478411599511,right-c-scoliotic-posture
179.0807790389054,178.48118778430336,178.406606961648,right-c-scoliotic-posture
178.22068010985654,179.9529843012423,177.36925205427306,right-c-scoliotic-posture
179.4793902897581,177.28563738226504,171.96596346566184,right-c-scoliotic-posture
178.5418254966895,178.44619288346155,179.27939809258592,right-c-scoliotic-posture
179.07875414033742,177.34723201821083,178.8638553765038,right-c-scoliotic-posture
0.23163842228362452,179.96448463724457,177.78886014027324,right-c-scoliotic-posture
179.1173072152697,177.38439250130443,177.495038756171,right-c-scoliotic-posture
177.59563396723408,179.1006611274777,0.1555335037281868,right-c-scoliotic-posture
179.01040795016533,179.4449021628302,178.90782762543247,right-c-scoliotic-posture
179.2137790994099,179.07850850813531,176.73827860854732,right-c-scoliotic-posture
179.31125888572615,179.46761192429526,178.42452851312677,right-c-scoliotic-posture
178.42327937445856,178.40181402198505,178.3184011072192,right-c-scoliotic-posture
179.07281468958962,179.08790172032843,178.27053082718624,right-c-scoliotic-posture
179.74740534518384,177.9634835270808,177.27949192410978,right-c-scoliotic-posture
0.15436304149336058,179.354673030936,177.7323239896253,right-c-scoliotic-posture
178.53257629600688,0.3389283987507703,178.92418749909834,right-c-scoliotic-posture
178.99626666520516,179.36760166965496,179.61778060236065,right-c-scoliotic-posture
178.81250010281153,178.17185184969642,178.46591098163123,right-c-scoliotic-posture
179.18992124957003,179.32639137111568,0.018395857069202784,right-c-scoliotic-posture
178.7656726628886,177.5434182749341,177.3119167537939,right-c-scoliotic-posture
179.3903741807883,178.72250919801962,178.49732509334454,right-c-scoliotic-posture
0.030688343924729848,179.07678440958964,178.26013212246508,right-c-scoliotic-posture
177.58915931454723,179.58772152371708,179.54469596023395,right-c-scoliotic-posture
1.9956005885406431,1.4783660306662745,179.99706200472278,left-c-scoliotic-posture
0.518627093445823,1.5646924790483718,0.4998673657168177,left-c-scoliotic-posture
0.4149401517611877,1.7578209615216116,2.982931732776207,left-c-scoliotic-posture
0.4601053493107996,1.745962253528333,179.80354155619834,left-c-scoliotic-posture
0.7800144622209938,0.2638781702331051,0.2799926875713,left-c-scoliotic-posture
